CustomerID,InvoiceDate,Quantity,UnitPrice,TotalAmount,Country,ProductCategory
C0045,2022-08-24 00:00:00,2,39.69,79.39,UK,Books
C0757,2022-07-01 00:00:00,1,414.09,414.09,Netherlands,Sports
C1643,2022-01-05 00:00:00,1,358.44,358.44,,Sports
C0133,2023-07-01 00:00:00,1,150.21,150.21,UK,Clothing
C0941,2022-12-10 00:00:00,1,222.65,222.65,UK,Sports
C0802,2023-02-20 00:00:00,1,31.98,31.98,UK,Beauty
C1284,2022-12-04 00:00:00,1,678.76,678.76,Italy,Electronics
C1706,2022-04-24 00:00:00,1,150.28,127.41,UK,Clothing
C1608,2022-11-12 00:00:00,1,37.89,37.89,UK,Beauty
C0759,2023-03-19 00:00:00,1,38.6,38.6,Spain,Beauty
C1735,2022-10-03 00:00:00,1,54.05,54.05,Germany,Beauty
C0562,2022-04-20 00:00:00,1,58.12,58.12,UK,Beauty
C0363,2023-03-29 00:00:00,1,159.31,159.31,UK,Sports
C0224,2022-10-24 00:00:00,1,446.87,446.87,UK,Sports
C1802,2022-11-12 00:00:00,1,602.07,602.07,,Electronics
C0970,2022-11-02 00:00:00,5,38.72,193.61,UK,Books
C0019,2022-08-20 00:00:00,1,9.65,9.65,France,Books
C0790,2022-12-04 00:00:00,1,502.04,502.04,UK,Electronics
C0109,2022-07-31 00:00:00,1,96.24,96.24,,Home & Garden
C1591,2022-11-01 00:00:00,1,48.96,48.96,Spain,Clothing
C1322,2022-11-26 00:00:00,2,508.24,1016.47,UK,Electronics
C0849,2023-02-28 00:00:00,1,47.26,47.26,France,Electronics
C0468,2022-02-14 00:00:00,1,34.59,34.59,Germany,Books
C1684,2023-04-01 00:00:00,1,586.41,586.41,UK,Electronics
C0902,2022-10-31 00:00:00,1,42.46,42.46,,Beauty
C0401,2022-08-27 00:00:00,4,119.2,476.8,UK,Clothing
C1217,2022-10-10 00:00:00,1,8.66,7.27,Spain,Beauty
C0885,2022-04-23 00:00:00,1,596.77,596.77,UK,Sports
C0044,2022-10-05 00:00:00,1,435.86,435.86,France,Sports
C0067,2022-11-22 00:00:00,1,219.06,219.06,,Electronics
C0880,2022-10-18 00:00:00,1,77.74,77.74,UK,Clothing
C0531,2022-07-11 00:00:00,1,81.04,81.04,Italy,Beauty
C1302,2023-02-17 00:00:00,-5,9.32,46.6,Netherlands,Beauty
C1489,2023-06-04 00:00:00,1,68.89,68.89,UK,Beauty
C1843,2023-01-01 00:00:00,4,76.28,305.12,Germany,Clothing
C1085,2022-04-23 00:00:00,1,30.49,30.49,UK,Books
C0789,2022-07-12 00:00:00,1,11.21,11.21,France,Books
C1636,2023-02-07 00:00:00,1,86.17,86.17,Germany,Beauty
C0025,2023-06-23 00:00:00,1,200.55,200.55,UK,Electronics
C0786,2022-05-19 00:00:00,1,125.69,125.69,,Home & Garden
C1821,2023-02-01 00:00:00,1,156.9,156.9,France,Home & Garden
C0288,2023-02-08 00:00:00,1,27.99,27.99,UK,Books
C1718,2023-02-10 00:00:00,1,197.49,197.49,,Clothing
C0504,2022-04-23 00:00:00,1,22.55,22.55,France,Books
C1442,2022-03-29 00:00:00,1,18.75,18.75,UK,Beauty
C0302,2023-07-04 00:00:00,1,27.84,21.73,Netherlands,Beauty
C0802,2023-05-24 00:00:00,1,190.96,190.96,UK,Sports
C1294,2022-11-01 00:00:00,1,12.64,12.64,UK,Books
C0940,2022-11-10 00:00:00,1,734.9,734.9,Spain,Electronics
C1598,2023-03-26 00:00:00,1,26.3,26.3,Germany,Sports
C0841,2022-03-07 00:00:00,1,588.79,588.79,Netherlands,Electronics
C1356,2022-06-16 00:00:00,-1,166.06,166.06,UK,Clothing
C1593,2023-03-10 00:00:00,-1,26.42,26.42,France,Home & Garden
C1322,2022-05-04 00:00:00,1,35.7,35.7,UK,Beauty
C0755,2022-07-11 00:00:00,1,20.61,20.61,France,Books
C0241,2023-01-31 00:00:00,1,50.01,50.01,France,Beauty
C1755,2022-09-19 00:00:00,1,114.83,114.83,UK,Electronics
C0347,2022-03-08 00:00:00,1,9.66,9.66,UK,Books
C0827,2022-09-10 00:00:00,4,9.12,36.47,Germany,Books
C1486,2022-09-09 00:00:00,-1,303.81,303.81,France,Electronics
C0907,2022-09-11 00:00:00,1,829.31,829.31,France,Electronics
C0985,2022-07-29 00:00:00,1,38.45,38.45,Netherlands,Beauty
C0017,2022-02-15 00:00:00,1,109.53,109.53,,Clothing
C0735,2023-11-07 00:00:00,1,295.31,295.31,UK,Home & Garden
C1727,2022-05-01 00:00:00,1,14.25,14.25,UK,Home & Garden
C1072,2022-12-30 00:00:00,1,232.41,232.41,UK,Home & Garden
C0033,2022-07-07 00:00:00,1,8.42,8.42,,Books
C1718,2023-03-10 00:00:00,1,133.54,117.22,,Clothing
C0617,2022-02-18 00:00:00,1,666.24,666.24,France,Electronics
C0849,2023-01-02 00:00:00,1,191.85,191.85,France,Clothing
C1482,2022-09-27 00:00:00,1,707.2,707.2,UK,Electronics
C0462,2022-12-10 00:00:00,1,481.6,481.6,UK,Electronics
C0961,2022-12-23 00:00:00,1,32.81,32.81,,Clothing
C0929,2022-10-07 00:00:00,3,65.41,196.22,France,Electronics
C0274,2023-05-29 00:00:00,1,516.47,516.47,UK,Electronics
C1312,2022-08-22 00:00:00,1,15.83,15.83,Netherlands,Beauty
C0968,2022-09-13 00:00:00,1,22.45,22.45,UK,Books
C0604,2023-01-27 00:00:00,1,114.1,114.1,Germany,Electronics
C1456,2022-09-25 00:00:00,1,291.5,291.5,Netherlands,Sports
C1212,2022-12-25 00:00:00,4,25.48,79.12,UK,Books
C0688,2022-05-14 00:00:00,2,39.57,69.26,France,Beauty
C0232,2022-10-02 00:00:00,1,574.27,574.27,UK,Sports
C0633,2022-07-12 00:00:00,1,104.85,104.85,UK,Home & Garden
C1676,2022-10-01 00:00:00,1,26.79,26.79,,Books
C0313,2023-06-24 00:00:00,1,19.34,19.34,UK,Books
C1376,2023-11-10 00:00:00,1,8.79,7.25,Netherlands,Books
C1340,2022-07-22 00:00:00,1,470.55,470.55,UK,Sports
C1204,2022-09-17 00:00:00,1,60.96,60.96,,Clothing
C1721,2023-01-20 00:00:00,1,329.07,329.07,,Electronics
C0894,2022-07-16 00:00:00,1,16.55,16.55,Germany,Books
C0630,2022-09-23 00:00:00,1,70.73,70.73,France,Electronics
C1750,2022-06-05 00:00:00,1,134.58,134.58,UK,Clothing
C1228,2022-11-04 00:00:00,1,59.92,59.92,Italy,Beauty
C1132,2022-01-13 00:00:00,2,8.49,16.98,Germany,Books
C0298,2022-09-11 00:00:00,1,29.82,29.82,UK,Clothing
C0297,2023-01-26 00:00:00,1,128.95,128.95,,Electronics
C1713,2023-11-12 00:00:00,1,197.72,168.36,Germany,Clothing
C0628,2022-04-04 00:00:00,1,158.17,158.17,UK,Home & Garden
C0038,2022-03-01 00:00:00,1,48.86,48.86,Germany,Beauty
C1091,2022-08-05 00:00:00,1,870.53,870.53,UK,Electronics
C0874,2023-01-13 00:00:00,1,482.55,482.55,,Sports
C1160,2022-10-26 00:00:00,1,119.33,119.33,UK,Sports
C1627,2022-12-28 00:00:00,2,204.76,409.52,France,Electronics
C0798,2022-08-12 00:00:00,1,90.02,90.02,,Sports
C0913,2022-11-16 00:00:00,1,16.18,16.18,UK,Home & Garden
C0702,2022-10-18 00:00:00,1,47.57,47.57,,Beauty
C1849,2022-01-11 00:00:00,1,101.92,101.92,UK,Electronics
C1652,2022-12-28 00:00:00,1,22.18,22.18,France,Books
C0337,2023-07-02 00:00:00,1,513.19,513.19,Spain,Sports
C0952,2022-10-08 00:00:00,1,351.56,351.56,UK,Sports
C1455,2022-03-26 00:00:00,2,163.81,327.63,France,Home & Garden
C0694,2022-12-28 00:00:00,1,235.7,235.7,UK,Home & Garden
C0844,2023-10-02 00:00:00,1,75.18,75.18,UK,Beauty
C1190,2022-01-12 00:00:00,1,43.84,43.84,Netherlands,Home & Garden
C0100,2023-05-16 00:00:00,1,175.12,175.12,,Clothing
C1112,2022-05-05 00:00:00,1,202.98,202.98,,Home & Garden
C0854,2023-02-09 00:00:00,1,533.0,533.0,Italy,Sports
C0376,2023-01-24 00:00:00,1,62.37,62.37,UK,Beauty
C1305,2022-10-23 00:00:00,1,239.99,239.99,Germany,Home & Garden
C0821,2022-05-02 00:00:00,1,38.94,38.94,UK,Books
C0003,2023-03-25 00:00:00,1,196.2,196.2,,Clothing
